skill_name,category,owner,run_id,harness,model,axis,pass_rate_gain,efficiency_score,valid_scenarios,invalid_scenarios,total_items,wi_passed,wo_passed,wi_time_s,wo_time_s,wi_skill_matched,wo_skill_matched,security_score,total_deduction,findings_H,findings_M,findings_L,overall_severity,dynamic_total,dynamic_passed,dynamic_failed,dynamic_error
anon-skill-002,management-occupations,anon-426,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,98.8,1.2,0,0,1,L,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_cc_claude4,cc,claude-4,utility,0.0,,3,0,22,0,9,143.17,210.54,3,3,,,,,,,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.6786,0.0,3,0,22,22,7,938.49,271.31,3,3,98.8,1.2,0,0,1,L,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_codex_gpt51,codex,gpt-5.1,utility,0.3631,0.25,3,0,22,14,13,104.09,86.55,3,3,,,,,,,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_codex_gpt54,codex,gpt-5.4,utility,0.5357,0.0392,3,0,22,19,7,391.19,261.52,3,3,,,,,,,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_opencode_claude46,opencode,claude-4.6,utility,0.7262,0.0,3,0,22,22,6,786.32,253.78,3,3,,,,,,,0,0,0,0
anon-skill-002,management-occupations,anon-426,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.7262,0.0,3,0,22,22,6,530.93,228.05,3,3,,,,,,,0,0,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,89.1,10.88,2,2,0,H,4,3,1,0
anon-skill-003,community-and-social-service-occupations,anon-188,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,81.9,18.06,2,2,0,H,4,2,2,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_cc_claude4,cc,claude-4,utility,0.1222,0.0,3,0,17,12,13,593.82,528.73,3,3,,,,,,,0,0,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.1889,0.0,3,0,17,16,13,778.9,580.5,3,3,86.7,13.35,2,2,0,H,4,4,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_codex_gpt51,codex,gpt-5.1,utility,0.0,0.295,3,0,17,3,10,159.48,133.71,3,3,,,,,,,0,0,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_codex_gpt54,codex,gpt-5.4,utility,0.0556,0.1667,3,0,17,15,14,606.44,523.87,3,3,,,,,,,0,0,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_opencode_claude46,opencode,claude-4.6,utility,0.2222,0.1119,3,0,17,15,11,617.57,599.93,3,3,,,,,,,0,0,0,0
anon-skill-003,community-and-social-service-occupations,anon-188,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.3667,0.1187,3,0,17,16,10,816.39,347.66,3,3,,,,,,,0,0,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,93.9,6.12,0,1,1,M,1,0,1,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,96.1,3.9,0,1,1,M,1,1,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_cc_claude4,cc,claude-4,utility,0.6444,0.0,3,0,16,15,5,133.37,90.08,3,3,,,,,,,0,0,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.6444,0.0605,3,0,16,16,6,94.25,94.82,3,3,93.9,6.12,0,1,1,M,1,0,1,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_codex_gpt51,codex,gpt-5.1,utility,0.6444,0.3148,3,0,16,16,6,54.61,73.88,3,3,,,,,,,0,0,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_codex_gpt54,codex,gpt-5.4,utility,0.3111,0.0,3,0,16,12,7,118.93,72.94,3,3,,,,,,,0,0,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_opencode_claude46,opencode,claude-4.6,utility,0.7,0.031,3,0,16,16,5,93.71,95.49,3,3,,,,,,,0,0,0,0
anon-skill-004,food-preparation-and-serving-related-occupations,anon-188,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.5111,0.394,3,0,16,14,6,135.41,83.09,3,3,,,,,,,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,65.5,34.54,5,2,1,H,7,7,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,40.5,59.5,5,2,1,H,7,3,4,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_cc_claude4,cc,claude-4,utility,0.7,,2,1,17,8,0,516.85,145.24,3,3,,,,,,,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0,0.0,1,2,17,2,3,772.36,123.36,3,3,49.0,51.0,5,2,1,H,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_codex_gpt51,codex,gpt-5.1,utility,0.4222,0.2924,3,0,17,8,1,110.27,77.52,3,3,,,,,,,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_codex_gpt54,codex,gpt-5.4,utility,0.3889,0.5,3,0,17,11,8,336.01,274.91,3,3,,,,,,,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_opencode_claude46,opencode,claude-4.6,utility,0.0833,,2,1,17,1,2,132.71,150.45,3,3,,,,,,,0,0,0,0
anon-skill-005,personal-care-and-service-occupations,anon-188,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.1222,0.0,3,0,17,8,6,381.86,224.47,3,3,,,,,,,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_cc_claude4,cc,claude-4,utility,0.5555,0.0,3,0,17,16,7,179.45,132.69,3,3,,,,,,,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.3,0.0,3,0,17,17,12,244.72,214.02,3,3,100.0,0.0,0,0,0,L,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_codex_gpt51,codex,gpt-5.1,utility,0.2667,0.387,3,0,17,15,11,79.25,80.3,3,3,,,,,,,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_codex_gpt54,codex,gpt-5.4,utility,0.2556,0.3445,3,0,17,14,10,185.42,202.45,3,3,,,,,,,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_opencode_claude46,opencode,claude-4.6,utility,0.4333,0.0,3,0,17,17,10,288.12,170.25,3,3,,,,,,,0,0,0,0
appliance-repairer,installation-maintenance-and-repair-occupations,anon-458,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.1667,0.0216,3,0,17,13,10,237.28,141.45,3,3,,,,,,,0,0,0,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,91.6,8.43,0,2,0,M,2,0,2,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,91.7,8.28,0,2,0,M,2,0,2,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_cc_claude4,cc,claude-4,utility,0.2857,0.0,3,0,20,20,14,672.04,393.88,3,3,,,,,,,0,0,0,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.381,0.005,3,0,20,20,12,1022.27,1223.62,3,3,91.7,8.27,0,2,0,M,2,0,2,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_codex_gpt51,codex,gpt-5.1,utility,0.0556,0.1125,3,0,20,6,11,140.68,221.38,3,3,,,,,,,0,0,0,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_codex_gpt54,codex,gpt-5.4,utility,0.0,0.1223,3,0,20,19,19,806.0,710.53,3,3,,,,,,,0,0,0,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_opencode_claude46,opencode,claude-4.6,utility,0.0953,0.119,3,0,20,20,18,747.85,858.25,3,3,,,,,,,0,0,0,0
aquaculture-expert,farming-fishing-and-forestry-occupations,anon-458,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.0476,0.0489,3,0,20,20,19,563.74,476.18,3,3,,,,,,,0,0,0,0
